No;Code;Company Name;Listing Date;Shares;Listing Board
124;BWPT;Eagle High Plantations Tbk.;27 Oct 2009;31,525,291,000;Main
125;BYAN;Bayan Resources Tbk.;12 Agt 2008;33,333,335,000;Main
126;CANI;Capitol Nusantara Indonesia Tb;16 Jan 2014;833,440,000;Watchlist
127;CASS;Cardig Aero Services Tbk.;05 Dec 2011;2,086,950,000;Main
128;CEKA;Wilmar Cahaya Indonesia Tbk.;09 Jul 1996;595,000,000;Development
129;CENT;Centratama Telekomunikasi Indo;01 Nov 2001;31,183,464,900;Watchlist
130;CFIN;Clipan Finance Indonesia Tbk.;27 Agt 1990;3,984,520,457;Main
131;CINT;Chitose Internasional Tbk.;27 Jun 2014;1,000,000,000;Development
132;CITA;Cita Mineral Investindo Tbk.;20 Mar 2002;3,960,361,250;Development
133;CLPI;Colorpak Indonesia Tbk.;30 Nov 2001;306,338,500;Development
134;CMNP;Citra Marga Nusaphala Persada ;10 Jan 1995;6,020,171,128;Main
135;CMPP;AirAsia Indonesia Tbk.;08 Dec 1994;10,685,124,441;Watchlist
136;CNKO;Exploitasi Energi Indonesia Tb;20 Nov 2001;8,956,361,206;Watchlist
137;CNTX;Century Textile Industry Tbk.;22 May 1979;70,000,000;Watchlist
138;COWL;Cowell Development Tbk.;19 Dec 2007;4,871,214,021;Watchlist
139;CPIN;Charoen Pokphand Indonesia Tbk;18 Mar 1991;16,398,000,000;Main
140;CPRO;Central Proteina Prima Tbk.;28 Nov 2006;59,572,382,787;Development
141;CSAP;Catur Sentosa Adiprana Tbk.;12 Dec 2007;5,683,175,151;Development
142;CTBN;Citra Tubindo Tbk.;28 Nov 1989;800,371,500;Watchlist
143;CTRA;Ciputra Development Tbk.;28 Mar 1994;18,535,695,255;Main
144;CTTH;Citatah Tbk.;03 Jul 1996;1,230,839,821;Watchlist
145;DART;Duta Anggada Realty Tbk.;08 May 1990;3,141,390,962;Development
146;DEFI;Danasupra Erapacific Tbk.;06 Jul 2001;687,266,666;Watchlist
147;DEWA;Darma Henwa Tbk;26 Sep 2007;40,687,434,244;Main
148;DGIK;Nusa Konstruksi Enjiniring Tbk;19 Dec 2007;5,541,165,000;Development
149;DILD;Intiland Development Tbk.;04 Sep 1991;10,365,854,185;Main
150;DKFT;Central Omega Resources Tbk.;21 Nov 1997;5,638,246,600;Development
151;DLTA;Delta Djakarta Tbk.;27 Feb 1984;800,659,050;Main
152;DMAS;Puradelta Lestari Tbk.;29 May 2015;48,198,111,100;Main
153;DNAR;Bank Oke Indonesia Tbk.;11 Jul 2014;16,867,292,274;Development
154;DNET;Indoritel Makmur Internasional;11 Dec 2000;14,184,000,000;Development
155;DOID;Delta Dunia Makmur Tbk.;15 Jun 2001;7,651,007,132;Main
156;DPNS;Duta Pertiwi Nusantara Tbk.;08 Agt 1990;331,129,952;Development
157;DSFI;Dharma Samudera Fishing Indust;24 Mar 2000;1,857,135,500;Development
158;DSNG;Dharma Satya Nusantara Tbk.;14 Jun 2013;10,599,842,400;Main
159;DSSA;Dian Swastatika Sentosa Tbk;10 Dec 2009;7,705,523,200;Main
160;DUTI;Duta Pertiwi Tbk;02 Nov 1994;1,850,000,000;Watchlist
161;DVLA;Darya-Varia Laboratoria Tbk.;11 Nov 1994;1,120,000,000;Development
162;DYAN;Dyandra Media International Tb;25 Mar 2013;4,272,964,279;Development
163;ECII;Electronic City Indonesia Tbk.;03 Jul 2013;1,334,333,000;Development
164;EKAD;Ekadharma International Tbk.;14 Agt 1990;3,493,875,000;Development
165;ELSA;Elnusa Tbk.;06 Feb 2008;7,298,500,000;Main
166;ELTY;Bakrieland Development Tbk.;30 Oct 1995;43,521,913,019;Watchlist
167;EMDE;Megapolitan Developments Tbk.;12 Jan 2011;3,350,000,000;Development
168;EMTK;Elang Mahkota Teknologi Tbk.;12 Jan 2010;61,391,751,483;Main
169;ENRG;Energi Mega Persada Tbk.;07 Jun 2004;24,821,230,250;Main
170;EPMT;Enseval Putera Megatrading Tbk;01 Agt 1994;2,708,640,000;Development
171;ERAA;Erajaya Swasembada Tbk.;14 Dec 2011;15,950,000,000;Main
172;ERTX;Eratex Djaja Tbk.;21 Agt 1990;1,286,539,792;Development
173;ESSA;ESSA Industries Indonesia Tbk.;01 Feb 2012;17,226,975,700;Main
174;ESTI;Ever Shine Tex Tbk.;13 Oct 1992;2,015,208,720;Watchlist
175;ETWA;Eterindo Wahanatama Tbk;16 May 1997;4,668,671,400;Watchlist
176;EXCL;XL Axiata Tbk.;29 Sep 2005;13,128,430,665;Main
177;FAST;Fast Food Indonesia Tbk.;11 May 1993;3,990,277,158;Development
178;FASW;Fajar Surya Wisesa Tbk.;19 Dec 1994;2,477,888,787;Watchlist
179;FISH;FKS Multi Agro Tbk.;18 Jan 2002;480,000,000;Watchlist
180;FMII;Fortune Mate Indonesia Tbk;30 Jun 2000;6,400,000,000;Development
181;FORU;Fortune Indonesia Tbk;17 Jan 2002;465,224,000;Development
182;FPNI;Lotte Chemical Titan Tbk.;21 Mar 2002;5,566,414,000;Development
183;FREN;Smartfren Telecom Tbk.;29 Nov 2006;476,704,137,792;Watchlist
184;GAMA;Aksara Global Development Tbk.;11 Jul 2012;10,011,027,656;Watchlist
185;GDST;Gunawan Dianjaya Steel Tbk.;23 Dec 2009;9,242,500,000;Watchlist
186;GDYR;Goodyear Indonesia Tbk.;22 Dec 1980;410,000,000;Development
187;GEMA;Gema Grahasarana Tbk.;12 Agt 2002;1,600,000,000;Development
188;GEMS;Golden Energy Mines Tbk.;17 Nov 2011;5,882,353,000;Main
189;GGRM;Gudang Garam Tbk.;27 Agt 1990;1,924,088,000;Main
190;GIAA;Garuda Indonesia (Persero) Tbk;11 Feb 2011;91,480,783,837;Watchlist
191;GJTL;Gajah Tunggal Tbk.;08 May 1990;3,484,800,000;Main
192;GLOB;Globe Kita Terang Tbk.;10 Jul 2012;1,111,112,000;Watchlist
193;GMTD;Gowa Makassar Tourism Developm;11 Dec 2000;1,015,380,000;Development
194;GOLD;Visi Telekomunikasi Infrastruk;07 Jul 2010;1,277,276,000;Development
195;GOLL;Golden Plantation Tbk.;23 Dec 2014;3,665,000,759;Watchlist
196;GPRA;Perdana Gapuraprima Tbk.;10 Oct 2007;4,276,655,336;Development
197;GSMF;Equity Development Investment ;23 Oct 1989;14,230,399,705;Development
198;GTBO;Garda Tujuh Buana Tbk;09 Jul 2009;2,500,000,000;Development
199;GWSA;Greenwood Sejahtera Tbk.;23 Dec 2011;7,800,760,000;Development
200;GZCO;Gozco Plantations Tbk.;15 May 2008;6,000,000,000;Development
201;HADE;Himalaya Energi Perkasa Tbk.;12 Apr 2004;2,120,000,000;Watchlist
202;HDFA;Radana Bhaskara Finance Tbk.;10 May 2011;6,542,445,783;Development
203;HDTX;Panasia Indo Resources Tbk.;06 Jun 1990;3,601,462,800;Watchlist
204;HERO;DFI Retail Nusantara Tbk.;21 Agt 1989;4,183,634,000;Development
205;HEXA;Hexindo Adiperkasa Tbk.;13 Feb 1995;840,000,000;Main
206;HITS;Humpuss Intermoda Transportasi;15 Dec 1997;7,101,084,801;Main
207;HMSP;H.M. Sampoerna Tbk.;15 Agt 1990;116,318,076,900;Development
208;HOME;Hotel Mandarine Regency Tbk.;17 Jul 2008;22,212,194,782;Watchlist
209;HOTL;Saraswati Griya Lestari Tbk.;10 Jan 2013;3,550,001,452;Watchlist
210;HRUM;Harum Energy Tbk.;06 Oct 2010;13,518,100,000;Main
211;IATA;MNC Energy Investments Tbk.;13 Sep 2006;25,238,245,556;Watchlist
212;IBFN;Intan Baru Prana Tbk.;22 Dec 2014;1,517,332,349;Watchlist
213;IBST;Inti Bangun Sejahtera Tbk.;31 Agt 2012;1,350,904,927;Watchlist
214;ICBP;Indofood CBP Sukses Makmur Tbk;07 Oct 2010;11,661,908,000;Main
215;ICON;Island Concepts Indonesia Tbk.;08 Jul 2005;1,089,750,000;Watchlist
216;IGAR;Champion Pacific Indonesia Tbk;05 Nov 1990;972,204,500;Development
217;IIKP;Inti Agri Resources Tbk;14 Oct 2002;33,600,000,000;Watchlist
218;IKAI;Intikeramik Alamasri Industri ;04 Jun 1997;13,305,799,387;Watchlist
219;IKBI;Sumi Indo Kabel Tbk.;21 Jan 1991;1,224,000,000;Development
220;IMAS;Indomobil Sukses Internasional;15 Nov 1993;3,994,291,039;Main
221;IMJS;Indomobil Multi Jasa Tbk.;10 Dec 2013;8,654,325,000;Development
222;IMPC;Impack Pratama Industri Tbk.;17 Dec 2014;54,268,500,000;Main
223;INAF;Indofarma Tbk.;17 Apr 2001;3,099,267,500;Watchlist
224;INAI;Indal Aluminium Industry Tbk.;05 Dec 1994;633,600,000;Development
225;INCI;Intanwijaya Internasional Tbk;24 Jul 1990;207,656,617;Development
226;INCO;Vale Indonesia Tbk.;16 May 1990;10,539,784,534;Main
227;INDF;Indofood Sukses Makmur Tbk.;14 Jul 1994;8,780,426,500;Main
228;INDR;Indo-Rama Synthetics Tbk.;03 Agt 1990;654,351,707;Development
229;INDS;Indospring Tbk.;10 Agt 1990;6,562,497,100;Development
230;INDX;Tanah Laut Tbk;17 May 2001;437,913,588;Development
231;INDY;Indika Energy Tbk.;11 Jun 2008;5,210,192,000;Main
232;INKP;Indah Kiat Pulp & Paper Tbk.;16 Jul 1990;5,470,982,941;Main
233;INPC;Bank Artha Graha Internasional;23 Agt 1990;20,021,178,779;Main
234;INPP;Indonesian Paradise Property T;12 Jan 2004;11,181,971,732;Development
235;INRU;Toba Pulp Lestari Tbk.;18 Jun 1990;1,388,883,283;Development
236;INTA;Intraco Penta Tbk.;23 Agt 1993;3,343,935,022;Watchlist
237;INTD;Inter Delta Tbk;18 Dec 1989;591,828,000;Development
238;INTP;Indocement Tunggal Prakarsa Tb;05 Dec 1989;3,681,231,699;Main
239;IPOL;Indopoly Swakarsa Industry Tbk;09 Jul 2010;6,443,379,509;Development
240;ISAT;Indosat Tbk.;19 Oct 1994;32,250,810,957;Main
241;ISSP;Steel Pipe Industry of Indones;22 Feb 2013;7,185,992,035;Main
242;ITMA;Sumber Energi Andalan Tbk.;10 Dec 1990;999,053,167;Development
243;ITMG;Indo Tambangraya Megah Tbk.;18 Dec 2007;1,129,925,000;Main
244;JAWA;Jaya Agra Wattie Tbk.;30 May 2011;16,232,951,842;Development
245;JECC;Jembo Cable Company Tbk.;18 Nov 1992;756,000,000;Development
246;JIHD;Jakarta International Hotels &;29 Feb 1984;2,329,040,482;Development
247;JKON;Jaya Konstruksi Manggala Prata;04 Dec 2007;16,308,519,860;Main
248;JKSW;Jakarta Kyoei Steel Works Tbk.;06 Agt 1997;150,000,000;Watchlist
249;JPFA;Japfa Comfeed Indonesia Tbk.;23 Oct 1989;11,726,575,201;Main
250;JRPT;Jaya Real Property Tbk.;29 Jun 1994;13,750,000,000;Development
251;JSMR;Jasa Marga (Persero) Tbk.;12 Nov 2007;7,257,871,200;Main
252;JSPT;Jakarta Setiabudi Internasiona;12 Jan 1998;2,318,736,000;Watchlist
253;JTPE;Jasuindo Tiga Perkasa Tbk.;16 Apr 2002;6,852,050,000;Main
254;KAEF;Kimia Farma Tbk.;04 Jul 2001;5,566,588,407;Development
255;KARW;Meratus Jasa Prima Tbk.;20 Dec 1994;587,152,700;Watchlist
256;KBLI;KMI Wire & Cable Tbk.;06 Jul 1992;4,007,235,107;Main
257;KBLM;Kabelindo Murni Tbk.;01 Jun 1992;1,120,000,000;Development
258;KBLV;First Media Tbk.;25 Feb 2000;1,742,167,907;Watchlist
259;KBRI;Kertas Basuki Rachmat Indonesi;11 Jul 2008;8,687,995,734;Watchlist
260;KDSI;Kedawung Setia Industrial Tbk.;29 Jul 1996;1,620,000,000;Development
261;KIAS;Keramika Indonesia Assosiasi T;08 Dec 1994;14,929,100,000;Watchlist
262;KICI;Kedaung Indah Can Tbk;28 Oct 1993;276,000,000;Development
263;KIJA;Kawasan Industri Jababeka Tbk.;10 Jan 1995;20,824,888,369;Main
264;KKGI;Resource Alam Indonesia Tbk.;01 Jul 1991;5,000,000,000;Main
265;KLBF;Kalbe Farma Tbk.;30 Jul 1991;46,875,122,110;Main
266;KOBX;Kobexindo Tractors Tbk.;05 Jul 2012;2,272,500,000;Development
267;KOIN;Kokoh Inti Arebama Tbk;09 Apr 2008;980,843,732;Watchlist
268;KONI;Perdana Bangun Pusaka Tbk;22 Agt 1995;312,000,000;Development
